"codigo","nome","grupoSmm"
"100","PATRIMÔNIO DE REFERÊNCIA (PR)","PR"
"101","PATRIMÔNIO DE REFERÊNCIA PARA COMPARAÇÃO COM O RWA","PR"
"102","PATRIMÔNIO DE REFERÊNCIA PARA O LIMITE DE IMOBILIZAÇÃO (PR_LI)","PR"
"103","PATRIMÔNIO DE REFERÊNCIA NÍVEL I PARA COMPARAÇÃO COM RWA","PR"
"104","CAPITAL PRINCIPAL PARA COMPARAÇÃO COM RWA","PR"
"105","(-) EXCESSO DOS RECURSOS APLICADOS NO ATIVO PERMANENTE","PR"
"107","CAPITAL DESTACADO PARA OPERAÇÕES COM O SETOR PÚBLICO","PR"
"108","PATRIMÔNIO DE REFERÊNCIA DE NÍVEL I AJUSTADO PARA O CÁLCULO DA RA","PR"
"109","PATRIMÔNIO DE REFERÊNCIA  PARA OUTROS LIMITES OPERACIONAIS (PR)","PR"
"110","PATRIMÔNIO DE REFERÊNCIA NÍVEL I (PR_I)","PR"
"111","CAPITAL PRINCIPAL - CP","PR"
"111.01","CAPITAL SOCIAL","PR"
"111.02","RESERVAS DE CAPITAL, REAVALIAÇÃO E DE LUCROS","PR"
"111.03","GANHOS NÃO REALIZADOS DE AJUSTES DE AVALIAÇÃO PATRIMONIAL EXCETO DE HEDGE DE FLUXO DE CAIXA","PR"
"111.04","SOBRAS OU LUCROS ACUMULADOS","PR"
"111.05","CONTAS DE RESULTADO CREDORAS","PR"
"111.06","DEPÓSITO PARA SUFICIÊNCIA DE CAPITAL","PR"
"111.07","AJUSTES POSITIVOS AO VALOR DE MERCADO DE DERIVATIVOS","PR"
"111.08","OUTROS INSTRUMENTOS ELEGÍVEIS AO CAPITAL PRINCIPAL","PR"
"111.09","AJUSTES POSITIVOS AO VALOR DE MERCADO DE DERIVATIVOS REGISTRADOS NO PASSIVO","PR"
"111.91","DEDUÇÕES DO CAPITAL PRINCIPAL EXCETO AJUSTES PRUDENCIAIS","PR"
"111.91.01","PERDAS NÃO REALIZADAS - AVALIAÇÃO PATRIMONIAL E TVM","PR"
"111.91.02","AÇÕES EM TESOURARIA E OUTROS INSTRUMENTOS DE EMISSÃO PRÓPRIA","PR"
"111.91.02.01","AÇÕES EM TESOURARIA E OUTROS INSTRUMENTOS DE EMISSÃO PRÓPRIA   VALORES BRUTOS","PR"
"111.91.02.90","AÇÕES EM TESOURARIA E OUTROS INSTRUMENTOS DE EMISSÃO PRÓPRIA   POSIÇÃO VENDIDA","PR"
"111.91.03","PERDAS OU PREJUÍZOS ACUMULADOS","PR"
"111.91.04","CONTAS DE RESULTADO DEVEDORAS","PR"
"111.91.05","AJUSTES NEGATIVOS AO VALOR DE MERCADO DE DERIVATIVOS","PR"
"111.91.06","AÇÕES DO CONGLOMERADO OBJETO DE FINANCIAMENTO DE ENTIDADES DO CONGLOMERADO","PR"
"111.91.07","AÇÕES DO CONGLOMERADO EMITIDAS COM EXPECTATIVA DE RESGATE, REEMBOLSO, AMORTIZAÇÃO, RECOMPRA OU CANCELAMENTO","PR"
"111.91.08","OUTRAS DEDUÇÕES DO CAPITAL","PR"
"111.91.09","AJUSTES NEGATIVOS AO VALOR DE MERCADO DE DERIVATIVOS REGISTRADOS NO PASSIVO","PR"
"111.92","AJUSTES PRUDENCIAIS EXCETO PARTICIPAÇÕES NÃO CONSOLIDADAS E CRÉDITO TRIBUTÁRIO","PR"
"111.92.01","AJUSTE PRUDENCIAL I - ÁGIOS PAGOS","PR"
"111.92.02","AJUSTE PRUDENCIAL II - ATIVOS INTANGÍVEIS","PR"
"111.92.03","AJUSTE PRUDENCIAL III - ATIVOS ATUARIAIS","PR"
"111.92.04","AJUSTE PRUDENCIAL VI - NÃO CONTROLADORES","PR"
"111.92.06","AJUSTE PRUDENCIAL VIII - CRÉDITOS TRIBUTÁRIOS DE PREJUÍZO FISCAL E RELACIONADOS À CSLL","PR"
"111.92.06.01.01.01","TOTAL DE CRÉDITOS TRIBUTÁRIOS DE PREJUÍZO FISCAL E RELACIONADOS À CSLL","PR"
"111.92.06.01.01.90","OBRIGAÇÕES FISCAIS DIFERIDAS COMPENSADAS COM CRÉDITOS TRIBUTÁRIOS DE PREJUÍZO FISCAL/CSLL","PR"
"111.92.06.03","CRÉDITO TRIBUTÁRIO DE PREJUÍZO FISCAL NÃO DEDUZIDO DO CAPITAL - HEDGE DE INVESTIMENTOS","PR"
"111.92.06.03.01","VALOR TOTAL DO CRÉDITO TRIBUTÁRIO DE PREJUÍZO FISCAL - HEDGE DE INVESTIMENTOS","PR"
"111.92.06.03.01.03","ESTOQUE DO CRÉDITO TRIBUTÁRIO DE PREJUÍZO FISCAL - DEZ/17 - HEDGE DE INVESTIMENTOS","PR"
"111.92.06.03.02","VALOR TOTAL DO CRÉDITO TRIBUTÁRIO DE PREJUÍZO FISCAL DEDUZIDO DO CAPITAL - HEDGE DE","PR"
"111.92.09","AJUSTE PRUDENCIAL - PARTICIPAÇÃO NO EXTERIOR OU NÃO IF SEM ACESSO BC","PR"
"111.92.09.01","INVESTIMENTO","PR"
"111.92.09.02","DETERMINAÇÃO BC","PR"
"111.92.10","AJUSTE PRUDENCIAL - DIFERENÇA A MENOR - MODELO INTERNO IRB","PR"
"111.92.11","AJUSTE PRUDENCIAL   PARTICIPAÇÃO DE NÃO CONTROLADORES EM SUBSIDIÁRIAS NÃO AUTORIZADAS PELO BCB","PR"
"111.92.12","AJUSTE PRUDENCIAL XV - DIFERENÇA A MENOR - AJUSTES DA RESOLUÇÃO 4.277/13","PR"
"111.92.12.01","AJUSTE PRUDENCIAL XV   ITENS CONSIDERADOS EXPOSIÇÃO SEGUNDO RESOLUÇÃO BCB 229/2022","PR"
"111.92.12.02","AJUSTE PRUDENCIAL XV   ITENS NÃO CONSIDERADOS EXPOSIÇÃO SEGUNDO RESOLUÇÃO BCB 229/2022","PR"
"111.92.14","AQUISIÇÕES RECÍPROCAS DE INSTRUMENTOS DE CAPITAL PRINCIPAL","PR"
"111.93","AJUSTE PRUDENCIAL IV - INVESTIMENTOS NÃO SIGNIFICATIVOS","PR"
"111.93.01","TOTAL DE INVESTIMENTOS NÃO SIGNIFICATIVOS LÍQUIDOS EM ASSEMELHADAS","PR"
"111.93.01.01","INVESTIMENTOS NÃO SIGNIFICATIVOS EM ASSEMELHADAS BRUTOS DE COMPENSAÇÃO","PR"
"111.93.01.90","INVESTIMENTOS NÃO SIGNIFICATIVOS EM ASSEMELHADAS   POSIÇÃO VENDIDA","PR"
"111.93.02","LIMITE NÃO DEDUTÍVEL PARA INVESTIMENTOS NÃO SIGNIFICATIVOS EM ASSEMELHADAS E EM INSTITUIÇÕES FINANCEIRAS","PR"
"111.93.02.01","CAPITAL PRINCIPAL ANTES DOS AJUSTES DAS CONTAS 111.93, 111.94 E 111.95","PR"
"111.93.03","TOTAL DE INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS - POSIÇÃO LÍQUIDA","PR"
"111.93.03.01","TOTAL DE INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS - POSIÇÃO BRUTA","PR"
"111.93.03.90","INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS   POSIÇÃO VENDIDA","PR"
"111.93.04","TOTAL DE INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS - POSIÇÃO LÍQUIDA - CAPITAL COMPLEMENTAR","PR"
"111.93.04.01","TOTAL DE INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS   POSIÇÃO BRUTA - CAPITAL COMPLEMENTAR","PR"
"111.93.04.90","INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS   POSIÇÃO VENDIDA - CAPITAL COMPLEMENTAR","PR"
"111.93.05","TOTAL DE INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS - POSIÇÃO LÍQUIDA - CAPITAL DE NÍVEL II","PR"
"111.93.05.01","TOTAL DE INVESTIMENTOS NÃO SIGNIFICATIVOS EM INSTITUIÇÕES FINANCEIRAS - POSIÇÃO BRUTA - CAPITAL DE NÍVEL II","PR"
