"codigo","situacao","nome","descricao","mensagem","parametros"
"ELIM0007","Ativa","Parâmetros válidos","Valida parâmetros do documento","Parâmetros informados no documento inválidos: [lista]","System.Object[]"
"ELIM0009","Ativa","Contas válidas","Valida contas do documento","Contas inválidas informadas no documento: [lista]","System.Object[]"
"ELIM0012","Ativa","Elemento com valor inteiro válido","Valida se valor informado para o elemento é um valor inteiro  válido","Informado valor em formato inteiro inválido.","System.Object[]"
"ELIM0013","Ativa","Soma de detalhamentos de conta igual ao saldo da conta","Valida se o saldo da conta é igual à soma de seus detalhamentos","Valor informado para conta difere do somatório dos seus detalhamentos","System.Object[]"
"ELIM0016","Ativa","Saldo da conta igual resultado de sua fórmula","Valida saldo de conta com base em fórmula de validação","Valor informado para o saldo da conta difere do resultado esperado a partir de sua fórmula","System.Object[]"
"ELIM0020","Ativa","Contas repetidas","Valida contas repetidas no documento","Contas repetidas informadas no documento: [lista]","System.Object[]"
"ELIM0026","Ativa","Valida sinal positivo de contas","Valida saldos positivos","Valor informado para a conta não pode assumir valor negativo","System.Object[]"
"ELIM0027","Ativa","Parâmetro 'S' ou 'N'","Valida se parâmetro é diferente de 'S' ou 'N'","Parâmetro infomado no documento deve ser 'S' ou 'N'","System.Object[]"
"ELIM0028","Desativada","Validar Fator F com limite 05","Espera-se que o fator F (domínio 1 da tab6) seja informado sempre que a instituição estiver sujeita ao limite 05.00 da tab1","Parâmetro 'Fator F' não informado. Instituição submetida ao limite 05 deve informá-lo.","System.Object[]"
"ELIM0029","Desativada","Validar Fator F para cooperativas","Espera-se que o fator F seja 11 para todas instituições financeiras à exceção das repassadoras (que não estão sujeitas ao limites 05) e das cooperativas de crédito que poderão ser:  Cooperativas não vinculadas a centrais: 15 ou 17, será 17 obrigatoriamente se o domínio 2 da tab6 for 'S'. E será 15 obrigatoriamente se for 'N'. Cooperativas vinculadas a centrais: 11 ou 13, será 13 obrigatoriamente se o domínio 2 da tab6 for 'S'. E será 11 obrigatoriamente se for 'N'.","Valor informado para parâmetro 'Fator F' é inválido para o tipo de instituição financeira.","System.Object[]"
"ELIM0030","Ativa","Validar obrigatoriedade da Opção de Adicional para cooperativas","Espera-se que o domínio 2 da tab6 seja informado sempre que a instituição for cooperativa de crédito","Parâmetro 'Opção pelo adicional do Fator F' não informado. Cooperativa de crédito deve informá-lo.","System.Object[]"
"ELIM0031","Desativada","Validar obrigatoriedade da Metodologia para o limite 05","Espera-se que o domínio 3 da tab6 seja informado sempre que a instituição estiver sujeita ao limite 05.00 da tab1","Parâmetro 'Opção da metodologia de risco operacional' não informado. Instituição submetida ao limite 05 deve informá-lo.","System.Object[]"
